Date,SSE50,CSI300,CSI500
2013/8/22,1582.62,2303.93,3636.47
2013/8/23,1566.29,2286.93,3627.97
2013/8/26,1601.38,2335.62,3703.59
2013/8/27,1602,2340.88,3732.1
2013/8/28,1592.87,2328.06,3703.92
2013/8/29,1588.15,2318.31,3701.08
2013/8/30,1589.78,2313.91,3664.15
2013/9/2,1591.93,2320.34,3689.96
2013/9/3,1614.54,2354.5,3744.87
2013/9/4,1613.54,2350.7,3755.24
2013/9/5,1609.6,2341.74,3762.57
2013/9/6,1625.85,2357.78,3792.83
2013/9/9,1713.39,2440.61,3831.93
2013/9/10,1737.58,2474.89,3870.92
2013/9/11,1741.32,2482.89,3834.26
2013/9/12,1772.66,2507.46,3845.07
2013/9/13,1749.24,2488.9,3849.82
2013/9/16,1738.25,2478.39,3854.21
2013/9/17,1698.63,2427.32,3786.29
2013/9/18,1700.59,2432.51,3822.12
2013/9/23,1713.08,2472.29,3899.63
2013/9/24,1673.56,2443.89,3903.52
2013/9/25,1661.61,2429.03,3889.22
2013/9/26,1632.7,2384.44,3808.22
2013/9/27,1639.15,2394.97,3822.76
2013/9/30,1643.06,2409.04,3872.89
2013/10/8,1659.71,2441.81,3938.07
2013/10/9,1668.48,2453.58,3981.06
2013/10/10,1637.93,2429.32,3959.63
2013/10/11,1669.27,2468.51,4026.92
2013/10/14,1662.17,2472.54,4068.32
2013/10/15,1656.26,2467.52,4074.08
2013/10/16,1634.22,2421.37,3963.21
2013/10/17,1627.18,2413.33,3956.97
2013/10/18,1636.8,2426.05,3970.64
2013/10/21,1657.58,2471.32,4069.03
2013/10/22,1640.07,2445.89,4026.52
2013/10/23,1638.5,2418.49,3924.22
2013/10/24,1621.61,2400.51,3898.16
2013/10/25,1611.52,2368.56,3821.78
2013/10/28,1610.69,2365.95,3808.7
2013/10/29,1633.72,2372.05,3703.86
2013/10/30,1653.42,2407.47,3764.45
2013/10/31,1631.05,2373.72,3713.83
2013/11/1,1644.75,2384.96,3702.45
2013/11/4,1638.51,2380.45,3728.19
2013/11/5,1633.66,2383.77,3777.4
2013/11/6,1614.21,2353.57,3737.11
2013/11/7,1610.58,2340.55,3685.04
2013/11/8,1587.44,2307.95,3629.94
2013/11/11,1591.14,2315.89,3645.84
2013/11/12,1610.78,2340,3680.54
2013/11/13,1569.25,2288.12,3611.76
2013/11/14,1572.73,2304.5,3659.83
2013/11/15,1604.82,2350.73,3736.45
2013/11/18,1675.16,2428.9,3827.88
2013/11/19,1659.53,2412.16,3840.37
2013/11/20,1663.76,2424.85,3878.58
2013/11/21,1648.09,2409.99,3865.41
2013/11/22,1642.5,2397.96,3842.76
2013/11/25,1633.78,2388.63,3839.6
2013/11/26,1630.94,2387.42,3845.68
